DOI,Title,Authors,Abstract,Journal,Year
10.1186/s12870-024-05853-4,Selection and validation of reference genes for qRT-PCR normalization in dayflower (Commelina communis) based on the transcriptome profiling,"Yuejiao Yang, Gaohui Cao, Lulu Tang",,BMC Plant Biology,2024
10.1016/j.bonr.2024.101816,Identifying the best reference gene for RT-qPCR analyses of the three-dimensional osteogenic differentiation of human induced pluripotent stem cells,"Masakazu Okamoto, Yusuke Inagaki, Kensuke Okamura, Yoshinobu Uchihara, Kenichiro Saito, Akihito Kawai, Munehiro Ogawa, Akira Kido, Eiichiro Mori, Yasuhito Tanaka",,Bone Reports,2024
10.1016/j.mex.2024.103042,Validation of reference genes for cardiac RT-qPCR studies spanning the fetal to adult period,"Karthikeyan Bose, Samantha Louey, Sonnet S. Jonker",,MethodsX,2024
10.1007/s11033-024-10062-1,Selection and validation of reference genes for quantitative expression analysis of regeneration-related genes in Cheilomenes sexmaculata by real-time qRT-PCR,"Shivali Pandita, Hera Alam, Radha Shivhare, Manisha Singh, Sanchita Singh, Geetanjali Mishra, Praveen C. Verma",,Molecular Biology Reports,2024
10.1038/s41598-024-78183-y,Identification of stable housekeeping genes in mouse liver for studying carbon tetrachloride-induced injury and cellular senescence,"Keting He, Dongfan Wei, Qiuhong Liu, Xiaoli Liu, Diwenxin Zhou, Shangci Chen, Danhua Zhu, Xiaowei Xu",,Scientific Reports,2024
10.1038/s41598-024-77126-x,Screening and validating the optimal panel of housekeeping genes for 4T1 breast carcinoma and metastasis studies in mice,"Jorge Lucas Nascimento Souza, Ana Rafaela Antunes-Porto, Izabela da Silva Oliveira, Chiara Cássia Oliveira Amorim, Luiz Octávio Pires, Isabela de Brito Duval, Luisa Vitor Braga do Amaral, Fernanda Rezende Souza, Evelyn Ane Oliveira, Geovanni Dantas Cassali, Valbert Nascimento Cardoso, Simone Odília Antunes Fernandes, Ricardo Toshio Fujiwara, Remo Castro Russo, Lilian Lacerda Bueno",,Scientific Reports,2024
10.1186/s12864-024-10889-9,Identification and validation of qRT-PCR reference genes for analyzing grape infection with gray mold,"Lina Tan, Lijuan Lu, Wen Sun, Xinyuan Zhang, Yanglin Liu, Yan Xiang, Hanwei Yan",,BMC Genomics,2024
10.1038/s41598-024-74776-9,Stability and suitability of housekeeping genes in phlebotomine sand flies,"Fabiana Sassù, Barbora Vomáčková Kykalová, Cecilia Stahl Vieira, Petr Volf, Erich Loza Telleria",,Scientific Reports,2024
10.1007/s11033-024-09975-8,Assessment of housekeeping genes stability for gene transcription regulation analysis of Spodoptera littoralis (Lepidoptera: Noctuidae) under Spodoptera littoralis nucleopolyhedrovirus viral infection,"Wael Elmenofy, Mohamed Abdelsattar, Hosny H. Kesba, Reem M. Abd El-Maksoud",,Molecular Biology Reports,2024
10.1186/s12864-024-10808-y,RGeasy: a reference gene analysis tool for gene expression studies via RT-qPCR,"Micaele Rodrigues de Souza, Ivo Pontes Araújo, Wosley da Costa Arruda, André Almeida Lima, Solange Aparecida Ságio, Antonio Chalfun-Junior, Horllys Gomes Barreto",,BMC Genomics,2024
10.1186/s40538-024-00660-3,Selection of reference genes for expression profiling in biostimulation research of soybean,"Magdalena Sozoniuk, Michał Świeca, Andrea Bohatá, Petr Bartoš, Jan Bedrníček, František Lorenc, Markéta Jarošová, Kristýna Perná, Adéla Stupková, Jana Lencová, Pavel Olšan, Jan Bárta, Agnieszka Szparaga, María Cecilia Pérez-Pizá, Sławomir Kocira",,Chemical and Biological Technologies in Agriculture,2024
10.1016/j.stress.2024.100575,Identification of reference genes via real-time quantitative PCR for investigation of the transcriptomic basis of the squalene biosynthesis in different tissues on olives under drought stress,"Haiyang Chi, Shasha Bai, Chenxiao Chen, Yuying Bao, Xiaoxin Qu, Shitao Sun, Jiangpeng Pan, Xiushi Yang, Chunsheng Hou, Yanchun Deng",,Plant Stress,2024
10.1007/s11033-024-09848-0,Development and evaluation of suitable reference genes for qRT-PCR normalization of hybrids derived from Lycium barbarum and Lycium ruthenicum,"Yu Liu, Wenjun Shi, Defang Zhang",,Molecular Biology Reports,2024
10.1038/s41598-024-67538-0,Reference genes for RT-qPCR analysis in Musa acuminata genotypes contrasting in resistance to Fusarium oxysporum f. sp. cubense subtropical race 4,"Érica de Castro Costa, Lucas Santos Bastos, Taísa Godoy Gomes, Robert Neil Gerard Miller",,Scientific Reports,2024
10.1038/s41598-024-63335-x,Systematic selection of suitable reference genes for quantitative real-time PCR normalization studies of gene expression in Lutjanus erythropterus,"Lujun Chen, Qiulu Liang, Zhuoxin Lai, Haitao Cui, Zhenmin Xu, Zizhao Chen, Zhongdian Dong, Zhongduo Wang, Yusong Guo","AbstractQuantitative real-time PCR (qRT-PCR) has been widely employed for the study of gene expression in fish, and accurate normalization is crucial. In this study, we aimed to identify the most stably expressed genes in various tissues, different developmental stages, and within astaxanthin treatment groups in Lutjanuserythropterus. Twelve candidate genes (EEF1A, CYB5R3, DLD, IDH3A, MRPL17, MRPL43, NDUFS7, PABPC1, PAGR1, PFDN2, PSMC3, and RAB10) were examined via qRT-PCR. We employed geNorm and NormFinder to assess their stability. The results revealed that RAB10 and PFDN2 exhibited relatively stable expression patterns across different tissue and astaxanthin treatment groups, while NDUFS7 and MRPL17 proved to be the most reliable reference gene combinations across various developmental stages. The stability of these selected genes was further validated by assessing the expression of two target genes, CRADD and CAPNS1, across developmental stages, reinforcing the reliability of NDUFS7 as it closely aligned with transcriptome-wide expression patterns at these stages. The present results will help researchers to obtain more accurate results in future qRT-PCR analysis in L.erythropterus.",Scientific Reports,2024
10.1186/s12870-024-05199-x,"Transcriptome-based identification and validation of reference genes for corm growth stages, different tissues, and drought stress in Taro (Colocasia esculenta)","Weiqing Dong, Qi Chen, Fanglian He","AbstractTaro is a widely utilized starch resource plant. It is essential to quantify the expression levels of functional genes associated with taro growth using real-time quantitative polymerase chain reaction (RT-qPCR). However, to obtain reliable RT-qPCR results, appropriate reference genes (RGs) are required for data normalization. In this study, we screened seven novel candidate RGs using transcriptome datasets from taro, encompassing data from growth corms and various tissues. The expression stability of these seven new RGs, along with the commonly used RGs Actin, EF1-α, and β-tubulin, was assessed using Delta Ct, BestKeeper, geNorm, and NormFinder algorithms. Furthermore, we conducted a comprehensive analysis using the RefFinder program and validated the results using the target gene, CeAGPL1. The findings revealed that ACY-1 and PIA2 were the optimal multiple RGs for normalization during corm growth, while COX10 and Armc8 were suitable for samples including various types of tissues. Furthermore, we found three RGs, Armc8, COX10 and CCX4L, were the optimal RGs for drought stress. This study assessed the suitability of RGs in taro for the first time. The identified RGs provide valuable resources for studying corm growth, diverse tissues, and drought stress. This study contributes to the advancement of our understanding of the underlying mechanisms that govern the growth of taro.",BMC Plant Biology,2024
10.1186/s12870-024-04924-w,Identification and validation of stable reference genes for RT-qPCR analyses of Kobresia littledalei seedlings,"Haoyang Sun, Chunping Li, Siyu Li, Jiaxin Ma, Shuo Li, Xin Li, Cai Gao, Rongchen Yang, Nan Ma, Jing Yang, Peizhi Yang, Xueqing He, Tianming Hu","Abstract
                Background
                Kobreisa littledalei, belonging to the Cyperaceae family is the first Kobresia species with a reference genome and the most dominant species in Qinghai-Tibet Plateau alpine meadows. It has several resistance genes which could be used to breed improved crop varieties. Reverse Transcription Quantitative Real-Time Polymerase Chain Reaction (RT-qPCR) is a popular and accurate gene expression analysis method. Its reliability depends on the expression levels of reference genes, which vary by species, tissues and environments. However, K.littledalei lacks a stable and normalized reference gene for RT-qPCR analysis.
              
                Results
                The stability of 13 potential reference genes was tested and the stable reference genes were selected for RT-qPCR normalization for the expression analysis in the different tissues of K. littledalei under two abiotic stresses (salt and drought) and two hormonal treatments (abscisic acid (ABA) and gibberellin (GA)). Five algorithms were used to assess the stability of putative reference genes. The results showed a variation amongst the methods, and the same reference genes showed tissue expression differences under the same conditions. The stability of combining two reference genes was better than a single one. The expression levels of ACTIN were stable in leaves and stems under normal conditions, in leaves under drought stress and in roots under ABA treatment. The expression of glyceraldehyde-3-phosphate dehydrogenase (GAPDH) expression was stable in the roots under the control conditions and salt stress and in stems exposed to drought stress. Expression levels of superoxide dismutase (SOD) were stable in stems of ABA-treated plants and in the roots under drought stress. Moreover, RPL6 expression was stable in the leaves and stems under salt stress and in the stems of the GA-treated plants. EF1-alpha expression was stable in leaves under ABA and GA treatments. The expression levels of 28 S were stable in the roots under GA treatment. In general, ACTIN and GAPDH could be employed as housekeeping genes for K. littledalei under different treatments.
              
                Conclusion
                This study identified the best RT-qPCR reference genes for different K. littledalei tissues under five experimental conditions. ACTIN and GAPDH genes can be employed as the ideal housekeeping genes for expression analysis under different conditions. This is the first study to investigate the stable reference genes for normalized gene expression analysis of K. littledalei under different conditions. The results could aid molecular biology and gene function research on Kobresia and other related species.
              ",BMC Plant Biology,2024
10.1038/s41598-024-61806-9,Evaluation and validation of suitable reference genes for quantitative real-time PCR analysis in lotus (Nelumbo nucifera Gaertn.),"Bin Wang, Fenglin Zhu, Xingwen Zheng, Liangbo Yang, Ying Diao, Zhongli Hu","AbstractThe qRT-PCR technique has been regarded as an important tool for assessing gene expression diversity. Selection of appropriate reference genes is essential for validating deviation and obtaining reliable and accurate results. Lotus (Nelumbo nucifera Gaertn) is a common aquatic plant with important aesthetic, commercial, and cultural values. Twelve candidate genes, which are typically used as reference genes for qRT-PCR in other plants, were selected for this study. These candidate reference genes were cloned with, specific primers designed based on published sequences. In particular, the expression level of each gene was examined in different tissues and growth stages of Lotus. Notably, the expression stability of these candidate genes was assessed using the software programs geNorm and NormFinder. As a result, the most efficient reference genes for rootstock expansion were TBP and UBQ. In addition, TBP and EF-1α were the most efficient reference genes in various floral tissues, while ACT and GAPDH were the most stable genes at all developmental stages of the seed. CYP and GAPDH were the best reference genes at different stages of leaf development, but TUA was the least stable. Meanwhile, the gene expression profile of NnEXPA was analyzed to confirm the validity of the findings. It was concluded that, TBP and GAPDH were identified as the best reference genes. The results of this study may help researchers to select appropriate reference genes and thus obtain credible results for further quantitative RT-qPCR gene expression analyses in Lotus.",Scientific Reports,2024
10.1007/s11033-024-09401-z,Selection of suitable reference genes for normalization of RT-qPCR in three tissues of Northern bobwhite (Colinus virginianus) infected with eyeworm (Oxyspirura petrowi),"Aravindan Kalyanasundaram, Brett J. Henry, Cassandra Henry, Jeremiah Leach, Ronald J. Kendall",,Molecular Biology Reports,2024
10.1038/s41598-024-58139-y,Validation of reference gene stability for normalization of RT-qPCR in Phytophthora capsici Leonian during its interaction with Piper nigrum L.,"Saranya Vijayakumar, Manjula Sakuntala","AbstractThe selection of stable reference genes for the normalization of reverse transcription quantitative real-time PCR (RT-qPCR) is generally overlooked despite being the crucial element in determining the accuracy of the relative expression of genes. In the present study, the stability of seven candidate reference genes: actin (act), α-tubulin (atub), β-tubulin (btub), translation elongation factor 1-α (ef1), elongation factor 2 (ef2), ubiquitin-conjugating enzyme (ubc) and 40S ribosomal protein S3A (ws21) inPhytophthora capsicihas been validated. The validation was performed at six infection time points during its interaction with its susceptible hostPiper nigrum, two developmental stages, and for the combined dataset. Four algorithms: geNorm, NormFinder, BestKeeper, and the ΔCt method were compared, and a comprehensive ranking order was produced using RefFinder. The overall analysis revealed thatef1,ws21, andubcwere identified as the three most stable genes in the combined dataset,ef1,ws21, andactwere the most stable at the infection stages, and,ef1,btub, andubcwere most stable during the developmental stages. These findings were further corroborated by validating theP. capsicipathogenesis geneNPP1expression. The findings are significant as this is the first study addressing the stability of reference genes forP. capsici–P. nigruminteraction studies.",Scientific Reports,2024
10.1186/s13007-024-01167-6,Characterizing reference genes for high-fidelity gene expression analysis under different abiotic stresses and elicitor treatments in fenugreek leaves,"Amin Ebrahimi, Shahrokh Gharanjik, Elham Azadvari, Sajad Rashidi-Monfared","Abstract
                Background
                Quantifying gene expression is a critical aspect of applied genomics research across all organisms, and real-time PCR has emerged as a powerful tool for this purpose. However, selecting appropriate internal control genes for data normalization presents specific challenges. This study aimed to identify suitable reference genes for gene expression analysis under various conditions, encompassing salinity, low and high-temperature stresses, and different elicitor treatments. These treatments included titanium dioxide, cold plasma, 24-epibrassinolide, and melatonin, resulting in a total of 13 unique treatments and 148 treatment combinations applied to fenugreek plants.
              
                Results
                As per the analysis performed with the BestKeeper tool, EEF-1α, and GAPDH were recognized as the most stable reference genes under the majority of conditions. Furthermore, the GeNorm and NormFinder tools identified β-tubulin and EEF-1α as the most stable reference genes. The findings of this research demonstrated that, although the stability of three reference genes expression was acceptable in almost all evaluated treatments, fluctuations in their expression were observed under the treatments of cold stress with TiO2 NPs application, cold plasma application with salinity stress, and cold plasma application with high-temperature stress compared to others. Simultaneously, the GeNorm analysis results demonstrated that in the mentioned treatments, relying on only one reference gene is inadequate. To corroborate the results, we examined the expression profile of the SSR gene, a pivotal gene in diosgenin biosynthesis, under all investigated treatments and treatment combinations. The outcomes suggested that employing stable reference genes yielded highly consistent results.
              
                Conclusions
                The varying expression patterns of the target genes emphasize the crucial need for precise optimization of experimental conditions and selecting stable reference genes to achieve accurate results in gene expression studies utilizing real-time PCR. These findings offer valuable insights into the selection of appropriate reference genes for gene expression analysis under diverse conditions using real-time PCR.
              ",Plant Methods,2024
10.1007/s11033-024-09409-5,"Reference genes for qPCR expression in black tiger shrimp, Penaeus monodon","Preety Sweta Hembrom, Mottakunja Deepthi, Gourav Biswas, Bhagya Mappurath, Adon Babu, Narchikundil Reeja, Neeraja Mano, Tony Grace",,Molecular Biology Reports,2024
10.1007/s11033-024-09319-6,Epigenetic-related transcriptional reprogramming elucidated by identification and validation of a novel reference gene combination for RT-qPCR studies in porcine oocytes of contrasting quality,"Linda Marijke Haug, Robert C. Wilson, Anne Hege Alm-Kristiansen","Abstract
          
            Background
            Reliable RT-qPCR results are dependent on appropriate normalisation. Oocyte maturation studies can be challenging in this respect, as the stage of development can distinctively affect reference gene transcript abundance. The aim of this study was to validate the use of reference genes in oocyte in vitro maturation RT-qPCR studies, and thereafter, examine the abundance of transcripts supporting histone modification during oocyte and early embryo development in oocytes of contrasting quality.
          
          
            Methods and results
            Total RNA from oocytes from prepubertal gilts and sows was extracted either directly succeeding follicle aspiration or after 44 h in vitro maturation, followed by RT-qPCR. The stability of YWHAG, HPRT1, ACTB, GAPDH, HMBS and PFKP, was analysed by NormFinder and further cross-validated by assessing results generated following application of different combinations of potential reference genes for normalisation of the RT-qPCR data. Combining ACTB and PFKP generated high stability according to NormFinder and concordant results. Applying this normalisation, gilt derived oocytes displayed significantly higher abundance than oocytes from sows of almost all the epigenetic-related transcripts studied (HDAC2, SIRT1, SALL4, KDM1A, KDM1B, KDM5A), both before and after maturation.
          
          
            Conclusions
            This study identified the combined use of ACTB and PFKP as the optimal normalisation for porcine oocyte RT-qPCR data. In oocytes collected from prepubertal gilts, transcription did not appear to be silenced at the time of aspiration, and accumulation of transcripts supporting histone modification facilitating proper fertilization and further embryo development seemed delayed. The results imply the epigenetic-related transcripts may have potential as markers of oocyte quality.
          ",Molecular Biology Reports,2024
10.1038/s41598-024-51499-5,Selection and validation of reference genes suitable for gene expression analysis by Reverse Transcription Quantitative real-time PCR in Acinetobacter baumannii,"Paloma Aparecida Alves de Oliveira, Juliana Baboghlian, Clarissa Orandina Aparecida Ramos, Alquiandra Stefani Ferreira Mançano, Andréia de Melo Porcari, Raquel Girardello, Lúcio Fábio Caldas Ferraz","AbstractAcinetobacter baumannii is a Gram-negative bacterium considered an emerging multi-drug-resistant pathogen. Furthermore, this bacterium can survive in extreme environmental conditions, which makes it a frequent cause of nosocomial infection outbreaks. Gene expression analyses by Reverse Transcription Quantitative real-time PCR (RT-qPCR) depend on a reference gene, also called an endogenous gene, which is used to normalize the generated data and thus ensure an accurate analysis with minimal errors. Currently, gene expression analyses in A. baumannii are compromised, as there are no reports in the literature describing the identification of validated reference genes for use in RT-qPCR analyses. For this reason, we selected twelve candidate reference genes of A. baumannii and assessed their expression profile under different experimental and culture conditions. The expression stability of the candidate genes was evaluated by using statistical algorithms such as BestKeeper, geNorm, NormFinder, Delta CT, and RefFinder, in order to identify the most suitable candidate reference genes for RT-qPCR analyses. The statistical analyses indicated rpoB, rpoD, and fabD genes as the most adequate to ensure accurate normalization of RT-qPCR data in A. baumannii. The accuracy of the proposed reference genes was validated by using them to normalize the expression of the ompA gene, encoding the outer membrane protein A, in A. baumannii sensible and resistant to the antibiotic polymyxin. The present work provides suitable reference genes for precise RT-qPCR data normalization on future gene expression studies with A. baumannii.",Scientific Reports,2024
10.1007/s11033-024-09268-0,Comprehensive evaluation and validation of optimal reference genes for normalization of qPCR data in different caprine tissues,"Sonika Ahlawat, Mahanthi Vasu, Vikas Choudhary, Reena Arora, Rekha Sharma, MA Mir, Manoj Kumar Singh",,Molecular Biology Reports,2024
